"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","UI Tests for Contact List Application","2","0","","0"
"0","","0","API Tests for Contact List Application","3","0","","0"
